id,variable,mean,lci,uci
S86,nfhs3s_total,35.481160853101734,34.856083205439326,36.10623850076414
S88,nfhs3s_total,12.599819454572033,12.113954389161165,13.085684519982903
S14,nfhs3s_total,55.07271629584023,54.09244023781199,56.05299235386847
S16,nfhs3s_total,22.31933939184788,21.4931531170926,23.145525666603156
S20,nfhs3s_total,20.547329971155616,19.83130039757671,21.263359544734517
S20_rev,nfhs3s_total,79.45267002884438,78.73664045526547,80.16869960242327
S128,nfhs3s_total,10.853664959086212,10.370246069825383,11.337083848347039
S130,nfhs3s_total,2.1975716424890517,1.8931849296169418,2.5019583553611615
S15,nfhs3s_total,78.05251404224262,77.28369578886007,78.82133229562515
S17,nfhs3s_total,34.59530449452789,33.62369037318974,35.56691861586604
S87,nfhs3s_total,34.19200268987112,33.49829356858412,34.88571181115811
S89,nfhs3s_total,9.258794929403955,8.845790219097587,9.671799639710322
S129,nfhs3s_total,57.00121547930536,56.26407471915393,57.73835623945678
S131,nfhs3s_total,31.901310072407625,31.12086305045446,32.68175709436078
S81,nfhs3s_total,47.82993486421631,47.00244967497638,48.65742005345624
S82,nfhs3s_total,19.987997322533396,19.379475158616337,20.596519486450454
S83,nfhs3s_total,23.504216205848778,22.80836510240878,24.200067309288777
S84,nfhs3s_total,42.44158430923611,41.58466863645962,43.298499982012615
S85,nfhs3s_total,1.5484133828926672,1.3825245139121567,1.7143022518731776
S92,nfhs3s_total,69.36823325516478,68.59108164424325,70.14538486608632
S07,nfhs3s_total,67.17009458393807,65.86457948303199,68.47560968484414
S08,nfhs3s_total,88.1916389471507,87.35792049626386,89.02535739803754
S09,nfhs3s_total,29.680821011039825,28.533307805365105,30.82833421671455
S10,nfhs3s_total,25.639185672661092,24.36477519658072,26.913596148741465
S12,nfhs3s_total,5.031920508721363,4.6327374755369695,5.431103541905757
