state,nfhs4s_pc1,nfhs5s_pc1,nfhs3s_pc1
Andaman & Nicobar Islands,2.183843557828303,2.8570073914154706,NA
Andhra Pradesh,0.7303931413301872,1.937905583145157,-1.2416398816053773
Assam,-0.9669786788276944,0.5998554356827795,-2.685892275853466
Bihar,-2.8752160893133962,-0.6969283469074946,-4.005340946345383
Dadra & Nagar Haveli and Daman & Diu,0.7754273563386247,1.7659945499755314,NA
Goa,3.340179395260836,4.673122566223868,1.7705143918119712
Gujarat,0.8283963861165017,1.6223617621816797,-0.6534792478354946
Himachal Pradesh,2.4914851015625326,3.3724357665068374,-0.028870283894552012
Jammu & Kashmir,1.0123950378063737,2.5334872863753866,-1.0701032902493712
Karnataka,1.2687159585307846,2.319292247890985,-0.8675123585090915
Kerala,4.138490527123487,4.625311828028681,1.2096760696061215
Lakshadweep,3.060358548444023,4.267895794131536,NA
Ladakh,0.811192791830373,2.0258168800392284,-1.0701032902493712
Maharashtra,1.0428177991100194,2.3894123291261016,-0.4100961091372467
Meghalaya,0.45874185414028334,1.5371032785345011,-1.6027568422928016
Manipur,0.9332012319144928,2.0600700480259877,-0.6762947028572099
Mizoram,2.7384328523522257,3.7328282249325713,1.4643959377569462
Nagaland,1.0451953573668826,2.339569229322822,-0.8949758017998826
Sikkim,2.465564533572658,3.0956934844105577,0.03611464958600122
Telangana,1.2867919744272855,2.300218253893656,-1.2416398816053773
Tripura,0.2067961944510746,0.4327271241996974,-1.5903370235098315
West Bengal,-0.46712138485163107,0.4278085482222691,-2.2592790790286057
Arunachal Pradesh,0.32616135448518524,1.4751586631957692,-1.5267566053404682
Chhattisgarh,-0.2749822147689667,1.5384012217743732,-2.8023057274026733
Haryana,1.7679422973116297,2.500969603235153,-0.778750295456788
Jharkhand,-1.9838431534682566,-0.1613417921377786,-3.9995402529993838
Madhya Pradesh,-1.2739778156619255,0.4268217219415823,-2.783446720745158
Odisha,-0.7854625610659485,0.6000613068202568,-3.3433142834255563
Punjab,2.9038205492689086,3.114336792893274,0.28245029461868465
Rajasthan,-1.0308068528634813,0.9759603364210706,-3.0790150713249114
Tamil Nadu,2.272789160374337,3.2446271417493735,-0.8153954819833297
Uttar Pradesh,-0.9372041528362918,0.9644203467939607,-3.082086147903904
Uttarakhand,1.5969078409536097,2.677020337957621,-0.6881364951241413
Chandigarh,3.4428607830579985,3.522293168631758,NA
NCT of Delhi,3.0619992378828025,3.609202888311264,2.1769033395306683
Puducherry,3.1516039609406654,4.042977042719145,NA
