id,v024_label,v024_nfhs3,state,nfhs5s_urban,nfhs5s_rural,nfhs5s_total,nfhs4s_total
S105,himachal pradesh,himachal pradesh,Himachal Pradesh,9.5,12.2,11.9,11.230625728918241
S106,himachal pradesh,himachal pradesh,Himachal Pradesh,4.9,5.1,5.1,3.8106550964660575
S107,himachal pradesh,himachal pradesh,Himachal Pradesh,22.1,22.2,22.2,15.939764208100716
S108,himachal pradesh,himachal pradesh,Himachal Pradesh,18,16.2,16.5,21.771111443990424
S109,himachal pradesh,himachal pradesh,Himachal Pradesh,6,4.7,4.9,5.2121471989184665
S110,himachal pradesh,himachal pradesh,Himachal Pradesh,29.1,23.6,24.4,25.20478457112264
S111,himachal pradesh,himachal pradesh,Himachal Pradesh,3.4,0.5,0.9,NA
S112,himachal pradesh,himachal pradesh,Himachal Pradesh,1.5,0.3,0.4,NA
S113,himachal pradesh,himachal pradesh,Himachal Pradesh,0,0.3,0.3,NA
S114,himachal pradesh,himachal pradesh,Himachal Pradesh,2.6,0.8,1.1,NA
S115,himachal pradesh,himachal pradesh,Himachal Pradesh,46.1,34.7,36.2,30.9
S116,himachal pradesh,himachal pradesh,Himachal Pradesh,46.9,39.8,40.8,44.5
S117,himachal pradesh,himachal pradesh,Himachal Pradesh,92.7,74.1,76.6,68.6
S118,himachal pradesh,himachal pradesh,Himachal Pradesh,90.4,84.6,85.5,89
S119,himachal pradesh,himachal pradesh,Himachal Pradesh,93.8,93.9,93.9,90.8
S120,himachal pradesh,himachal pradesh,Himachal Pradesh,36.3,17.7,20.2,17
S121,himachal pradesh,himachal pradesh,Himachal Pradesh,21.1,23.4,23.1,11.3
S122,himachal pradesh,himachal pradesh,Himachal Pradesh,88.8,82.2,83.1,68.8
S123,himachal pradesh,himachal pradesh,Himachal Pradesh,90.9,77.8,79.5,73.9
S124,himachal pradesh,himachal pradesh,Himachal Pradesh,96.3,90.8,91.5,84.3
S125,himachal pradesh,himachal pradesh,Himachal Pradesh,6,8.7,8.3,5.9
S126,himachal pradesh,himachal pradesh,Himachal Pradesh,0,0.7,0.6,1.5
S127,himachal pradesh,himachal pradesh,Himachal Pradesh,0,2.8,2.5,2.8
S128,himachal pradesh,himachal pradesh,Himachal Pradesh,1.2,1.7,1.7,0.5146467080882723
S129,himachal pradesh,himachal pradesh,Himachal Pradesh,25.4,33.4,32.3,40.52790724198832
S130,himachal pradesh,himachal pradesh,Himachal Pradesh,0.3,0.7,0.6,0.28478486085061966
S131,himachal pradesh,himachal pradesh,Himachal Pradesh,30.4,32.1,31.9,39.65499636945367
S01,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,76,67.9,70.1,65.7
S02,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,21.1,25.2,24.1,27.4
S03,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,961,944,948,971
S04,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,978,976,976,923
S05,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,97.8,94.6,95.3,77.4
S06,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,83.4,73.9,76.2,NA
S07,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,99.9,99,99.3,97.2
S08,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,98.3,89.6,91.9,89.1
S09,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,85.6,72.3,75.7,53.8
S10,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,95.8,58.9,69.2,57.5
S11,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,99,97.7,98.1,95.4
S12,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,19.2,10.2,12.7,4.3
S13,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,4,0.9,1.6,NA
S14,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,84.3,74.7,77.3,69.01881473541505
S15,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,91.8,91.4,91.5,87.00684321028642
S16,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,65.1,46.2,51.3,37.1
S17,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,73.8,66,68.2,49
S18,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,55,38.9,43.3,NA
S19,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,79.4,68.8,72,NA
S20,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,2,5.3,4.5,8.7
S21,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,9.6,8.2,8.5,10.5
S22,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,1.2,1.5,1.4,2
S23,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,0.5,1.1,1,3
S24,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,5,10,9,19
S25,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,7.5,10.5,9.8,23.1
S26,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,14.7,16.7,16.3,32.4
S27,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,15.7,19.4,18.5,37.6
S28,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,59.2,60,59.8,57.1
S29,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,53.5,52.1,52.5,45.8
S30,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,21.6,20.9,21.1,24.4
S31,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,0.4,0.3,0.3,0.4
S32,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,7.2,5.4,5.9,2.4
S33,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,7.7,9.5,9,6.3
S34,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,11.6,11.7,11.7,11.3
S35,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,4,3.4,3.6,0.9
S36,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,6.1,8.4,7.8,12.4
S37,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,3.2,4.1,3.9,5.8
S38,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,11.6,10.9,11.1,9.6
S39,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,71.5,61.5,64,38.5
S40,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,90,85.5,86.6,76.7
S41,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,83.1,80.2,80.9,81.2
S42,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,94.4,91.1,91.9,87.3
S43,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,34,28.5,29.8,30.2
S44,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,21.6,14.1,15.9,16.7
S45,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,97.3,97.3,97.3,88.7
S46,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,89.4,82.6,84.2,74.7
S47,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,5680,4971,5145,4225
S48,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,NA,3.5,3.3,1
S49,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,85.6,80.2,81.5,NA
S50,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,98.6,90.5,92.4,85.5
S51,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,87.4,86.6,86.8,77.9
S52,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,0.6,3.8,3,2.2
S53,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,98.8,94,95.1,87.4
S54,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,54.7,37.8,41.7,33.4
S55,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,91,74.4,82.1,75.5
S56,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,50.9,40.2,42.7,35.5
S57,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,83,87.2,86.2,75
S58,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,99.8,95.6,96.5,84.4
S59,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,91,96.4,95.1,95.6
S60,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,83,89,87.6,83.8
S61,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,90,93.6,92.8,88.1
S62,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,88.7,92.6,91.7,86.1
S63,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,36.5,32,33.1,NA
S64,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,4,5.7,5.3,NA
S65,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,88,92.4,91.4,70.1
S66,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,86,81.2,82.3,69.4
S67,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,98.8,99.2,99.1,97.5
S68,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,1.2,0.2,0.4,2.2
S69,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,3.4,6.3,5.6,7.6
S70,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,81.2,80.7,80.8,69.1
S71,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,50.5,50.5,50.5,39.3
S72,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,76.1,74.7,74.9,74.2
S73,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,2.9,4.1,3.9,5.5
S74,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,63.7,62.1,62.3,78.5
S75,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,54.9,55.9,55.6,45.7
S76,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,68.1,59.9,62,65.4
S77,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,44.3,41,41.8,50.2
S78,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,11.9,12.5,12.4,21.8
S79,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,15,24.5,22.2,32
S80,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,12.3,14,13.6,23.5
S81,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,30.1,25.9,26.9,27.4
S82,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,17.6,19.4,19,12.2
S83,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,9.6,9.7,9.7,5.6
S84,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,19.4,21.5,21,16.6
S85,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,10.8,9.3,9.6,5.7
S86,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,3.7,5.8,5.2,12.2
S87,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,2.5,5,4.3,11.5
S88,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,33.4,27.9,29.3,29.3
S89,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,40.8,28.2,31.6,20.5
S90,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,89.2,87.3,87.8,NA
S91,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,66,58.7,60.7,NA
S92,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,70.1,73.5,72.7,53.8
S93,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,62.5,69,67.3,49
S94,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,44.1,44.1,44.1,46.9
S95,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,61.4,67.5,65.9,48.9
S96,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,71.5,77.5,76.2,49.9
S97,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,28,40,36.7,20.4
S98,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,37.9,60.1,53.5,29.5
S99,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,3.9,4.3,4.2,3.6612123688264284
S100,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,3.4,3,3.1,2.4340185234300367
S101,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,9.2,8.6,8.7,7.1364218314651975
S102,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,4,4.4,4.3,3.971291145456415
S103,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,2.9,2.7,2.7,2.8454266084468953
S104,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,8.1,8,8,8.908348632415958
S105,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,11.4,11.8,11.7,11.420136534669473
S106,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,3,3.1,3,3.359843250518977
S107,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,21.2,19.6,20,18.0797220965661
S108,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,12.5,12.2,12.3,13.755135925259326
S109,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,2.8,2.7,2.8,3.3893386073950182
S110,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,20.1,18.5,18.9,17.152957502737358
S111,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,0.3,0.6,0.5,NA
S112,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,0.1,0.4,0.3,NA
S113,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,0.1,0.9,0.7,NA
S114,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,0.1,1.6,1.1,NA
S115,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,17.4,15.2,15.8,18.9
S116,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,27.3,36,33.6,24.6
S117,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,72,62.7,65.3,68.5
S118,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,65.5,78.1,74.6,83.7
S119,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,81.3,81.7,81.6,84
S120,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,18.1,18.5,18.4,12.3
S121,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,48.2,60.8,57.3,33.1
S122,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,88.5,83.5,84.9,60
S123,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,80.4,73.3,75.2,53.9
S124,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,85.8,69.6,73.4,66.6
S125,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,5.9,11,9.6,9.4
S126,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,0.3,1.6,1.2,1.3
S127,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,1.4,5,4,3.1
S128,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,1.8,4.2,3.6,2.804226798875948
S129,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,32,40.6,38.3,38.37225755005063
S130,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,0.1,0.2,0.2,0.08479106542429903
S131,jammu and kashmir,jammu and kashmir,Jammu & Kashmir,7.7,9.2,8.8,10.29310676002978
S01,karnataka,karnataka,Karnataka,82,67,73,70.7
S02,karnataka,karnataka,Karnataka,22.4,23.2,22.9,24.4
S03,karnataka,karnataka,Karnataka,1034,1035,1034,979
S04,karnataka,karnataka,Karnataka,1063,931,978,910
S05,karnataka,karnataka,Karnataka,98.8,96.8,97.5,94.9
S06,karnataka,karnataka,Karnataka,88.7,85.5,86.6,NA
S07,karnataka,karnataka,Karnataka,99.3,99,99.1,98.3
S08,karnataka,karnataka,Karnataka,97.3,94.1,95.3,95.3
S09,karnataka,karnataka,Karnataka,84.4,68.5,74.8,57.8
S10,karnataka,karnataka,Karnataka,94.5,69.3,79.7,54.7
S11,karnataka,karnataka,Karnataka,97.7,89.4,92.8,86.8
S12,karnataka,karnataka,Karnataka,28.2,28,28.1,28.1
S13,karnataka,karnataka,Karnataka,18.9,16.3,17.3,NA
S14,karnataka,karnataka,Karnataka,85.1,71,76.7,71.67834780902879
S15,karnataka,karnataka,Karnataka,90.5,87,88.5,85.13255256762378
S16,karnataka,karnataka,Karnataka,62.3,42,50.2,45.5
S17,karnataka,karnataka,Karnataka,64.8,50.6,56.5,55.2
S18,karnataka,karnataka,Karnataka,50.1,24.8,35,NA
S19,karnataka,karnataka,Karnataka,71.5,55.6,62.4,NA
S20,karnataka,karnataka,Karnataka,16.1,24.7,21.3,21.4
S21,karnataka,karnataka,Karnataka,4.5,7.2,6.1,9.1
S22,karnataka,karnataka,Karnataka,1.5,1.8,1.7,1.8
S23,karnataka,karnataka,Karnataka,3.4,6.6,5.4,7.8
S24,karnataka,karnataka,Karnataka,27,47,40,51
S25,karnataka,karnataka,Karnataka,15.1,16.2,15.8,18.5
S26,karnataka,karnataka,Karnataka,21.4,27.8,25.4,26.9
S27,karnataka,karnataka,Karnataka,24.5,32.5,29.5,31.5
S28,karnataka,karnataka,Karnataka,69.6,68.2,68.7,51.8
S29,karnataka,karnataka,Karnataka,68.8,67.7,68.2,51.3
S30,karnataka,karnataka,Karnataka,55.2,58.9,57.4,48.6
S31,karnataka,karnataka,Karnataka,0,0,0,0.1
S32,karnataka,karnataka,Karnataka,3.4,2.5,2.9,0.8
S33,karnataka,karnataka,Karnataka,2.1,2.1,2.1,0.4
S34,karnataka,karnataka,Karnataka,6,2.9,4.1,1.3
S35,karnataka,karnataka,Karnataka,0.7,0.4,0.5,0
S36,karnataka,karnataka,Karnataka,7.3,5.9,6.5,10.4
S37,karnataka,karnataka,Karnataka,4.2,3.4,3.8,6
S38,karnataka,karnataka,Karnataka,36.6,35.2,35.8,19.8
S39,karnataka,karnataka,Karnataka,79.7,68.7,72.9,41.6
S40,karnataka,karnataka,Karnataka,73.7,69.3,71,65.9
S41,karnataka,karnataka,Karnataka,71.2,70.6,70.9,70.1
S42,karnataka,karnataka,Karnataka,94.9,92.8,93.6,88.1
S43,karnataka,karnataka,Karnataka,50.7,40.9,44.7,45.2
S44,karnataka,karnataka,Karnataka,31.5,23.7,26.7,32.6
S45,karnataka,karnataka,Karnataka,96.8,98.2,97.6,89.3
S46,karnataka,karnataka,Karnataka,87.4,87.4,87.4,65.5
S47,karnataka,karnataka,Karnataka,5042,4911,4954,4824
S48,karnataka,karnataka,Karnataka,2.5,15.3,12.3,5.6
S49,karnataka,karnataka,Karnataka,86.4,84.9,85.5,NA
S50,karnataka,karnataka,Karnataka,98.3,96.2,97,94
S51,karnataka,karnataka,Karnataka,56,70,64.8,61.2
S52,karnataka,karnataka,Karnataka,1.1,2,1.6,3.1
S53,karnataka,karnataka,Karnataka,96.2,92.5,93.8,93.7
S54,karnataka,karnataka,Karnataka,35.2,29.4,31.5,23.6
S55,karnataka,karnataka,Karnataka,52.3,52.8,52.5,40.3
S56,karnataka,karnataka,Karnataka,23.3,22.2,22.6,16.9
S57,karnataka,karnataka,Karnataka,80,86.5,84.1,62.6
S58,karnataka,karnataka,Karnataka,88.3,88.3,88.3,72.7
S59,karnataka,karnataka,Karnataka,96.6,97.5,97.2,92.5
S60,karnataka,karnataka,Karnataka,82.5,90.5,87.6,74.6
S61,karnataka,karnataka,Karnataka,91.3,92.5,92.1,77.9
S62,karnataka,karnataka,Karnataka,89,92.5,91.2,82.4
S63,karnataka,karnataka,Karnataka,34.4,32.9,33.4,NA
S64,karnataka,karnataka,Karnataka,7.6,4.9,5.9,NA
S65,karnataka,karnataka,Karnataka,86.6,90.1,88.8,58.9
S66,karnataka,karnataka,Karnataka,86.7,86,86.2,82.4
S67,karnataka,karnataka,Karnataka,81.9,97.4,91.7,88.2
S68,karnataka,karnataka,Karnataka,18,2,7.9,11.4
S69,karnataka,karnataka,Karnataka,4.6,5.6,5.3,4.5
S70,karnataka,karnataka,Karnataka,79.1,67.5,71.3,52.8
S71,karnataka,karnataka,Karnataka,47.2,44.7,45.5,34.3
S72,karnataka,karnataka,Karnataka,74.4,72.9,73.4,69.7
S73,karnataka,karnataka,Karnataka,1.2,1.7,1.5,1.2
S74,karnataka,karnataka,Karnataka,60.8,67.8,65.7,76.9
S75,karnataka,karnataka,Karnataka,51.8,47.5,49.1,56.3
S76,karnataka,karnataka,Karnataka,56.7,63,61,54.2
S77,karnataka,karnataka,Karnataka,50.4,43.6,45.8,46
S78,karnataka,karnataka,Karnataka,9,12.1,11,5.8
S79,karnataka,karnataka,Karnataka,19.6,19.4,19.5,14.4
S80,karnataka,karnataka,Karnataka,11.4,13.7,12.8,8.2
S81,karnataka,karnataka,Karnataka,32.2,37.2,35.4,36.2
S82,karnataka,karnataka,Karnataka,18.5,20.1,19.5,26.1
S83,karnataka,karnataka,Karnataka,8.6,8.3,8.4,10.5
S84,karnataka,karnataka,Karnataka,29.4,34.9,32.9,35.2
S85,karnataka,karnataka,Karnataka,3.8,2.9,3.2,2.6
S86,karnataka,karnataka,Karnataka,12.9,19.9,17.2,20.7
S87,karnataka,karnataka,Karnataka,11.5,16.2,14.3,16.5
S88,karnataka,karnataka,Karnataka,37.1,25.6,30.1,23.3
S89,karnataka,karnataka,Karnataka,39.4,25,30.9,22.1
S90,karnataka,karnataka,Karnataka,46.8,43.9,45.1,NA
S91,karnataka,karnataka,Karnataka,41.2,37.4,38.9,NA
S92,karnataka,karnataka,Karnataka,62.8,67.1,65.5,60.9
S93,karnataka,karnataka,Karnataka,44.1,50.3,47.8,44.8
S94,karnataka,karnataka,Karnataka,37.3,50.6,45.7,45.4
S95,karnataka,karnataka,Karnataka,43.9,50.3,47.8,44.8
S96,karnataka,karnataka,Karnataka,48,50.2,49.4,45.3
S97,karnataka,karnataka,Karnataka,17.3,21.2,19.6,18.3
S98,karnataka,karnataka,Karnataka,26.4,26.5,26.5,24.5
S99,karnataka,karnataka,Karnataka,6.4,5.3,5.7,3.556971562045626
S100,karnataka,karnataka,Karnataka,8,6.1,6.8,3.2130215270030216
S101,karnataka,karnataka,Karnataka,16.2,12.6,14,8.355958006754154
S102,karnataka,karnataka,Karnataka,7.7,6,6.6,5.048798922110607
S103,karnataka,karnataka,Karnataka,8.6,7,7.6,3.6714806239059325
S104,karnataka,karnataka,Karnataka,18,14.1,15.6,10.535865666487114
S105,karnataka,karnataka,Karnataka,16.3,13.8,14.8,9.266567776670067
S106,karnataka,karnataka,Karnataka,6.1,6.2,6.2,3.3891165065752737
S107,karnataka,karnataka,Karnataka,27.4,23.4,25,12.933922539203987
S108,karnataka,karnataka,Karnataka,18.5,16.5,17.2,15.250032089057648
S109,karnataka,karnataka,Karnataka,6.8,6.6,6.7,4.042729628719635
S110,karnataka,karnataka,Karnataka,29.2,25.5,26.9,18.380230099381055
S111,karnataka,karnataka,Karnataka,0.6,0.5,0.5,NA
S112,karnataka,karnataka,Karnataka,0.4,0.3,0.4,NA
S113,karnataka,karnataka,Karnataka,0.5,0.4,0.5,NA
S114,karnataka,karnataka,Karnataka,0.3,0.4,0.3,NA
S115,karnataka,karnataka,Karnataka,30,20.8,24.5,9.5
S116,karnataka,karnataka,Karnataka,28,25.6,26.6,26.4
S117,karnataka,karnataka,Karnataka,84.2,76.1,79.4,50
S118,karnataka,karnataka,Karnataka,88.6,87.3,87.8,65.9
S119,karnataka,karnataka,Karnataka,86.2,80.5,82.7,80.4
S120,karnataka,karnataka,Karnataka,30.5,41.4,37,29.1
S121,karnataka,karnataka,Karnataka,64.5,69.7,67.6,51.8
S122,karnataka,karnataka,Karnataka,90.2,87.7,88.7,59.4
S123,karnataka,karnataka,Karnataka,74.2,53.4,61.8,47.1
S124,karnataka,karnataka,Karnataka,90.9,79.8,84.2,70.3
S125,karnataka,karnataka,Karnataka,44.5,44.4,44.4,20.6
S126,karnataka,karnataka,Karnataka,4.9,6.4,5.8,6.5
S127,karnataka,karnataka,Karnataka,10.9,11.2,11,10.3
S128,karnataka,karnataka,Karnataka,4.6,11.1,8.5,4.173549420776715
S129,karnataka,karnataka,Karnataka,21.5,30.8,27.1,34.25718722524126
S130,karnataka,karnataka,Karnataka,0.9,1,0.9,0.9924244433326732
S131,karnataka,karnataka,Karnataka,15.3,17.4,16.5,29.24807081698696
S01,kerala,kerala,Kerala,97,94.1,95.5,95.4
S02,kerala,kerala,Kerala,20.7,20.5,20.6,20.2
S03,kerala,kerala,Kerala,1138,1105,1121,1049
S04,kerala,kerala,Kerala,983,922,951,1047
S05,kerala,kerala,Kerala,99.5,98.5,99,97.7
S06,kerala,kerala,Kerala,98,96.9,97.4,NA
S07,kerala,kerala,Kerala,99.9,99.3,99.6,99.2
S08,kerala,kerala,Kerala,96.4,93.6,94.9,94.8
S09,kerala,kerala,Kerala,99,98.5,98.7,98.2
S10,kerala,kerala,Kerala,78.5,66.3,72.1,57.4
S11,kerala,kerala,Kerala,99.6,99.2,99.3,98.4
S12,kerala,kerala,Kerala,47.2,55.4,51.5,47.7
S13,kerala,kerala,Kerala,33.1,25.6,29,NA
S14,kerala,kerala,Kerala,99.1,97.5,98.3,97.85130596141775
S15,kerala,kerala,Kerala,99.2,97.4,98.2,98.65217714576225
S16,kerala,kerala,Kerala,78.8,75.3,77,72.2
S17,kerala,kerala,Kerala,76.8,70.2,73.3,70.5
S18,kerala,kerala,Kerala,64.9,57.5,61.1,NA
S19,kerala,kerala,Kerala,78.3,74.2,76.1,NA
S20,kerala,kerala,Kerala,4.1,8.2,6.3,7.6
S21,kerala,kerala,Kerala,0,2.5,1.4,2.8
S22,kerala,kerala,Kerala,1.8,1.8,1.8,1.6
S23,kerala,kerala,Kerala,1.8,3,2.4,3
S24,kerala,kerala,Kerala,15,21,18,21
S25,kerala,kerala,Kerala,2.6,4.2,3.4,4.4
S26,kerala,kerala,Kerala,3.5,5.2,4.4,5.6
S27,kerala,kerala,Kerala,3.9,6.4,5.2,7.1
S28,kerala,kerala,Kerala,61.4,60.1,60.7,53.1
S29,kerala,kerala,Kerala,50.6,54.8,52.8,50.3
S30,kerala,kerala,Kerala,43.6,49.4,46.6,45.8
S31,kerala,kerala,Kerala,0,0.1,0.1,0.1
S32,kerala,kerala,Kerala,1.6,1.5,1.5,1.6
S33,kerala,kerala,Kerala,0.5,0.3,0.4,0.2
S34,kerala,kerala,Kerala,4,2.9,3.4,2.6
S35,kerala,kerala,Kerala,0,0,0,0
S36,kerala,kerala,Kerala,13,12,12.5,13.7
S37,kerala,kerala,Kerala,7.2,6.8,7,8.3
S38,kerala,kerala,Kerala,13.7,16.1,15,17
S39,kerala,kerala,Kerala,62.2,62.1,62.2,55.6
S40,kerala,kerala,Kerala,93.9,93.3,93.6,95.1
S41,kerala,kerala,Kerala,79.3,78,78.6,90.1
S42,kerala,kerala,Kerala,94.7,95.7,95.2,96.4
S43,kerala,kerala,Kerala,80.5,79.5,80,67.1
S44,kerala,kerala,Kerala,66.2,67.7,67,47.4
S45,kerala,kerala,Kerala,89.9,92.5,91.3,84.2
S46,kerala,kerala,Kerala,93.1,93.4,93.3,88.7
S47,kerala,kerala,Kerala,6602,6789,6710,6901
S48,kerala,kerala,Kerala,NA,NA,NA,NA
S49,kerala,kerala,Kerala,90.4,92,91.2,NA
S50,kerala,kerala,Kerala,99.7,99.8,99.8,99.8
S51,kerala,kerala,Kerala,30.2,37.7,34.1,38.3
S52,kerala,kerala,Kerala,0.1,0.2,0.2,0.1
S53,kerala,kerala,Kerala,99.9,100,100,99.9
S54,kerala,kerala,Kerala,39.1,38.7,38.9,35.8
S55,kerala,kerala,Kerala,39.4,40.4,39.9,38.6
S56,kerala,kerala,Kerala,38.8,36.1,37.2,31.4
S57,kerala,kerala,Kerala,77.6,78,77.8,82.1
S58,kerala,kerala,Kerala,83.3,87.1,85.2,88.3
S59,kerala,kerala,Kerala,98.2,97,97.6,98.1
S60,kerala,kerala,Kerala,85.8,82.5,84.1,88.5
S61,kerala,kerala,Kerala,86.1,84.3,85.2,90.4
S62,kerala,kerala,Kerala,86.4,90.1,88.3,89.4
S63,kerala,kerala,Kerala,16.9,14.2,15.5,NA
S64,kerala,kerala,Kerala,10,9.1,9.5,NA
