id,v024_label,v024_nfhs3,state,nfhs5s_urban,nfhs5s_rural,nfhs5s_total,nfhs4s_total,nfhs3s_total,nfhs3s_urban,nfhs3s_rural,nfhs4s_urban,nfhs4s_rural
S44,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,64.8,41,52.1,33.7,NA,NA,NA,NA,NA
S45,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,100,97.9,98.9,97.7,NA,NA,NA,NA,NA
S46,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,89.4,88.5,88.9,75,NA,NA,NA,NA,NA
S47,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,4230,2089,2924,1278,NA,NA,NA,NA,NA
S48,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA
S49,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,90,91.8,91,NA,NA,NA,NA,NA,NA
S50,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,99.2,98.7,99,96.4,NA,NA,NA,NA,NA
S51,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,81.8,92.1,87.3,92,NA,NA,NA,NA,NA
S52,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,0,0.4,0.2,1,NA,NA,NA,NA,NA
S53,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,96.7,97.8,97.3,97.2,NA,NA,NA,NA,NA
S54,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,40.8,20.2,29.9,19.3,NA,NA,NA,NA,NA
S55,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,NA,NA,79.2,NA,NA,NA,NA,NA,NA
S56,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,33.6,15.8,23.6,16.9,NA,NA,NA,NA,NA
S57,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,72.1,84.8,77.8,73.2,NA,NA,NA,NA,NA
S58,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,NA,96.8,96,84.8,NA,NA,NA,NA,NA
S59,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,100,95.9,98.2,87.4,NA,NA,NA,NA,NA
S60,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,75.7,87.4,80.9,83.9,NA,NA,NA,NA,NA
S61,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,93.1,92.1,92.6,83.5,NA,NA,NA,NA,NA
S62,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,79.3,85.5,82.1,76.4,NA,NA,NA,NA,NA
S63,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,34.6,28.6,31.9,NA,NA,NA,NA,NA,NA
S64,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,0,0.7,0.3,NA,NA,NA,NA,NA,NA
S65,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,83,88.4,85.4,83.1,NA,NA,NA,NA,NA
S66,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,84.3,87.2,86,76,NA,NA,NA,NA,NA
S67,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,90.9,100,94.9,94.4,NA,NA,NA,NA,NA
S68,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,5.7,0,3.2,5.6,NA,NA,NA,NA,NA
S69,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,6.2,5.1,5.6,5.3,NA,NA,NA,NA,NA
S70,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,NA,NA,65,65,NA,NA,NA,NA,NA
S71,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,NA,NA,44.1,8.3,NA,NA,NA,NA,NA
S72,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,NA,NA,83.3,53.5,NA,NA,NA,NA,NA
S73,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,0,3.1,1.7,1.5,NA,NA,NA,NA,NA
S74,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,81,64.6,72.7,75.8,NA,NA,NA,NA,NA
S75,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,45.8,47.8,46.9,41.9,NA,NA,NA,NA,NA
S76,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,NA,NA,73.3,66.8,NA,NA,NA,NA,NA
S77,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,NA,NA,NA,45.1,NA,NA,NA,NA,NA
S78,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,24.3,12.4,18.5,13.5,NA,NA,NA,NA,NA
S79,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,NA,NA,NA,17.6,NA,NA,NA,NA,NA
S80,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,27.7,10.6,19.5,14.2,NA,NA,NA,NA,NA
S81,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,18.2,26.4,22.5,23.3,NA,NA,NA,16.51190286516676,27.77500674928778
S82,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,12.8,19,16,18.9,NA,NA,NA,19.37968754098143,18.784848340656858
S83,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,5.1,4.6,4.8,7.5,NA,NA,NA,4.695350695299414,8.463576531033498
S84,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,15.1,31.1,23.7,21.6,NA,NA,NA,16.292041803695504,25.44597326764443
S85,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,5.7,5.2,5.4,3,NA,NA,NA,2.2247751135148763,3.3770391139565703
S86,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,11.3,8.2,9.4,13.1,NA,NA,NA,10.10535979055173,15.502754935064218
S87,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,7.8,1.6,4,8.7,NA,NA,NA,8.148631183382072,8.017594472020594
S88,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,41.7,35.7,38.1,31.8,NA,NA,NA,38.23156425313107,26.555360858366665
S89,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,37,50.6,45.3,38.2,NA,NA,NA,42.67407946001497,40.53025993397055
S90,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,72.2,80.7,77.3,NA,NA,NA,NA,NA,NA
S91,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,61.3,53.7,56.6,NA,NA,NA,NA,NA,NA
S92,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,47.8,33.3,40,49,NA,NA,NA,46.81714819512817,49.68005309637806
S93,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,57.4,57.7,57.6,65.8,NA,NA,NA,NA,NA
S94,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,NA,55.5,53.7,61.4,NA,NA,NA,NA,NA
S95,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,57.2,57.6,57.5,65.7,NA,NA,NA,NA,NA
S96,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,44.1,45.5,44.9,68.1,NA,NA,NA,NA,NA
S97,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,9.2,20.4,16.1,30.8,NA,NA,NA,NA,NA
S98,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,NA,25.6,27.1,43,NA,NA,NA,NA,NA
S99,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,8.6,6.7,7.4,4.303039073429247,NA,NA,NA,4.246612559634931,4.347759165421795
S100,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,9.4,7.3,8.1,5.19744991603336,NA,NA,NA,6.689797396858857,4.014709531422037
S101,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,19.6,16.2,17.5,11.965325177571936,NA,NA,NA,13.872686899853981,10.453670709701678
S102,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,9.5,9.1,9.3,6.514243850355378,NA,NA,NA,8.171588429665526,5.378683051503974
S103,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,8.6,6.6,7.3,10.66133734140944,NA,NA,NA,16.479214353323343,6.675109522679024
S104,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,19.4,17.1,17.9,17.92456609737826,NA,NA,NA,25.888229241854955,12.468112566218444
S105,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,12.6,16.9,15.3,8.858749435069505,NA,NA,NA,8.349649514121706,9.264458898798157
S106,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,5,4.8,4.9,2.252320638472166,NA,NA,NA,2.4723318592777583,2.076990353130252
S107,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,23.4,26.4,25.3,12.15663493807715,NA,NA,NA,11.504455254501886,12.67636683900819
S108,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,17.6,22.1,20.6,25.268306978510807,NA,NA,NA,23.439517583103463,26.521336416507417
S109,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,6.5,6.4,6.5,8.888776007607946,NA,NA,NA,8.774263941563586,8.96723610264116
S110,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,28.2,31.2,30.2,31.916493537742664,NA,NA,NA,29.859104864465476,33.32615206894981
S111,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,1.7,2.8,2.4,NA,NA,NA,NA,NA,NA
S112,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,0,2.6,1.6,NA,NA,NA,NA,NA,NA
S113,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,10,10.2,10.1,NA,NA,NA,NA,NA,NA
S114,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,3.5,4,3.8,NA,NA,NA,NA,NA,NA
S115,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,10.1,18.4,14.9,29.3,NA,NA,NA,NA,NA
S116,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,36.8,33.4,34.7,44,NA,NA,NA,NA,NA
S117,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,81.4,72.5,76.3,59.5,NA,NA,NA,NA,NA
S118,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,67.5,62.2,64.3,75.3,NA,NA,NA,NA,NA
S119,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,93,95.5,94.5,92.6,NA,NA,NA,NA,NA
