ID,v024_nfhs4,sdistri,nfhs4_statecode,nfhs4_state,nfhs4_district,nfhs4d_total
V84,1,638,AN,Andaman & Nicobar Islands,Nicobar,2.2
V85,1,638,AN,Andaman & Nicobar Islands,Nicobar,18.6
V86,1,638,AN,Andaman & Nicobar Islands,Nicobar,2.1
V87,1,638,AN,Andaman & Nicobar Islands,Nicobar,1
V88,1,638,AN,Andaman & Nicobar Islands,Nicobar,36.7
V89,1,638,AN,Andaman & Nicobar Islands,Nicobar,4.6
S10,1,638,AN,Andaman & Nicobar Islands,Nicobar,39.3
V90,1,638,AN,Andaman & Nicobar Islands,Nicobar,1.7
S111,1,638,AN,Andaman & Nicobar Islands,Nicobar,8.3
S112,1,638,AN,Andaman & Nicobar Islands,Nicobar,3
S113,1,638,AN,Andaman & Nicobar Islands,Nicobar,9.3
S01,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,83.8
S11,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,99.4
S12,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,3.2
V12,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,77.9
S15,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,82.8
S16,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,39.2
S20,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,25.9
S21,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,NA
S23,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,6.5
S28,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,66.9
S29,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,62
S02,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,22.6
S30,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,50
S31,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,0
S32,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,3.9
S33,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,2.6
S34,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,5.5
S36,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,12.2
S37,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,6.2
S38,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,32
S39,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,75.3
S40,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,83.7
S03,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,951
S41,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,95.2
S42,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,96.2
S43,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,45.5
V33,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,43.5
S45,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,99.4
S46,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,78.3
V36,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,0.5
S47,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,1082
S48,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,NA
S49,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,27.1
S04,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,975
S50,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,95
S51,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,91.5
S52,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,0.5
S53,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,95.5
S54,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,14.3
S55,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,NA
S56,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,12.6
S57,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,89.1
S59,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,95.4
S60,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,93.6
S05,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,99.6
S61,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,95.4
S62,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,90.9
S65,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,93.6
V53,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,59.8
S67,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,100
S68,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,0
S69,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,4.9
S70,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,NA
S71,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,NA
S72,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,NA
V06,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,92.5
S73,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,0.4
S74,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,NA
S75,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,43.9
S76,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,NA
S77,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,NA
S78,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,18.3
S79,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,NA
S80,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,20.7
S81,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,32.5
S82,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,31.7
V07,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,90.3
S83,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,18.5
S84,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,33.5
S86,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,14.5
S87,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,8.4
