state,id,variable,mean,lci,uci
andaman and nicobar islands,S86,nfhs4s_total,13.109424471314929,10.447710011518742,15.771138931111118
andaman and nicobar islands,S88,nfhs4s_total,31.73286084445424,28.532094160069448,34.93362752883903
andaman and nicobar islands,S99,nfhs4s_total,4.303039073429247,3.1923213088224474,5.413756838036046
andaman and nicobar islands,S100,nfhs4s_total,5.19744991603336,3.96845643509049,6.42644339697623
andaman and nicobar islands,S101,nfhs4s_total,11.965325177571936,10.168026240281222,13.762624114862648
andaman and nicobar islands,S105,nfhs4s_total,8.858749435069505,7.066820454933353,10.650678415205656
andaman and nicobar islands,S106,nfhs4s_total,2.252320638472166,1.5341335815198425,2.970507695424489
andaman and nicobar islands,S107,nfhs4s_total,12.15663493807715,10.182775430277841,14.13049444587646
andaman and nicobar islands,S14,nfhs4s_total,84.07751734272871,81.55447738542811,86.60055730002931
andaman and nicobar islands,S16,nfhs4s_total,49.050648117055914,45.63745906552414,52.46383716858768
andaman and nicobar islands,S20,nfhs4s_total,23.14294511560063,17.736692202403493,28.54919802879776
andaman and nicobar islands,S128,nfhs4s_total,25.113729179443965,21.662827025483086,28.56463133340485
andaman and nicobar islands,S130,nfhs4s_total,2.466070637081481,1.6286021677220999,3.303539106440862
andaman and nicobar islands,S15,nfhs4s_total,87.69061611984853,82.16393743994954,93.21729479974752
andaman and nicobar islands,S17,nfhs4s_total,53.07226296197282,43.116227168609164,63.028298755336465
andaman and nicobar islands,S87,nfhs4s_total,8.070903005631221,5.26917392720293,10.87263208405951
andaman and nicobar islands,S89,nfhs4s_total,41.40241151707914,33.697292788602184,49.107530245556084
andaman and nicobar islands,S129,nfhs4s_total,60.94189768661872,52.983534666603305,68.90026070663413
andaman and nicobar islands,S131,nfhs4s_total,50.545320144140106,43.05257944292143,58.038060845358785
andaman and nicobar islands,S102,nfhs4s_total,6.514243850355378,2.8909443123879317,10.137543388322824
andaman and nicobar islands,S103,nfhs4s_total,10.66133734140944,7.023616253021695,14.299058429797187
andaman and nicobar islands,S104,nfhs4s_total,17.92456609737826,12.558364192114682,23.29076800264184
andaman and nicobar islands,S108,nfhs4s_total,25.268306978510807,18.652803342518165,31.88381061450345
andaman and nicobar islands,S109,nfhs4s_total,8.888776007607946,5.613044175836883,12.16450783937901
andaman and nicobar islands,S110,nfhs4s_total,31.916493537742664,24.302624385794257,39.53036268969107
andaman and nicobar islands,S81,nfhs4s_total,23.024273090560804,17.798504142652373,28.250042038469232
andaman and nicobar islands,S82,nfhs4s_total,19.03574921483739,13.964180837352147,24.107317592322637
andaman and nicobar islands,S83,nfhs4s_total,6.874153446980716,4.212942810207649,9.535364083753782
andaman and nicobar islands,S84,nfhs4s_total,21.584880378607664,16.578506195372185,26.59125456184314
andaman and nicobar islands,S85,nfhs4s_total,2.8910186149043278,1.1996028054541974,4.582434424354458
andaman and nicobar islands,S92,nfhs4s_total,48.49406084400614,42.40570002234674,54.58242166566555
andaman and nicobar islands,S07,nfhs4s_total,97.21239270612836,95.68980062323725,98.73498478901948
andaman and nicobar islands,S08,nfhs4s_total,95.02522212504734,92.38145847787098,97.66898577222369
andaman and nicobar islands,S09,nfhs4s_total,75.35230312536896,70.75696975298908,79.94763649774883
andaman and nicobar islands,S10,nfhs4s_total,63.82407413784161,57.46124470184697,70.18690357383626
andaman and nicobar islands,S12,nfhs4s_total,5.66458977575433,3.0440768544323356,8.285102697076326
andaman and nicobar islands,shdistri,nfhs4s_total,63961.10241277448,63949.962919251935,63972.24190629703
andhra pradesh,S86,nfhs4s_total,17.593614422121995,16.511188435737918,18.676040408506072
andhra pradesh,S88,nfhs4s_total,33.19428862532584,31.577320610322058,34.811256640329624
andhra pradesh,S99,nfhs4s_total,3.6225034806180285,3.198583962144986,4.046422999091071
andhra pradesh,S100,nfhs4s_total,5.010846647213968,4.510943321748529,5.510749972679407
andhra pradesh,S101,nfhs4s_total,9.541245771657545,8.836432814581432,10.24605872873366
andhra pradesh,S105,nfhs4s_total,9.616994249932711,8.972225769975795,10.261762729889629
andhra pradesh,S106,nfhs4s_total,3.1174266183466584,2.7118482078347435,3.5230050288585724
andhra pradesh,S107,nfhs4s_total,13.832967649010714,13.051347101685886,14.61458819633554
andhra pradesh,S14,nfhs4s_total,62.9340162027855,61.27490611374067,64.59312629183034
andhra pradesh,S16,nfhs4s_total,34.289225977019754,32.64669310752952,35.931758846509986
andhra pradesh,S20,nfhs4s_total,27.249671370422163,25.00278566712003,29.496557073724293
andhra pradesh,S128,nfhs4s_total,2.3108490933557775,1.8271316600583085,2.7945665266532465
andhra pradesh,S130,nfhs4s_total,0.423807369055165,0.18515899462313756,0.6624557434871925
andhra pradesh,S15,nfhs4s_total,77.27024194424962,74.35679649949655,80.18368738900267
andhra pradesh,S17,nfhs4s_total,49.086031055788325,45.23888743578048,52.93317467579617
andhra pradesh,S87,nfhs4s_total,14.560981684292438,12.335624808826482,16.78633855975839
andhra pradesh,S89,nfhs4s_total,33.39596293801998,30.093156097635692,36.69876977840427
andhra pradesh,S129,nfhs4s_total,28.207521913870675,25.391511150829366,31.023532676911987
andhra pradesh,S131,nfhs4s_total,35.157515165681126,32.180975025300704,38.13405530606155
andhra pradesh,S102,nfhs4s_total,4.7487314136004635,3.5657455035031322,5.931717323697795
andhra pradesh,S103,nfhs4s_total,7.22288333731957,5.757979222142493,8.687787452496648
andhra pradesh,S104,nfhs4s_total,13.107308138788868,11.077522448213317,15.137093829364417
andhra pradesh,S108,nfhs4s_total,16.41061570224814,14.453567949128582,18.3676634553677
